time of writing,name of the test file,number of accepting traces,number or rejecting traces,depth of formula,number of variables,max length of traces,specified formula,solving time sat,obtained formula sat,comment sat,,,
5/23/2018 1:05,traces/generated/5to10OneThree/0022.trace,5,5,3,3,5,"->(F(x1),U(!(x0),x1))",1.078799113,"|(x1,X(x1))",,50,1.078799113,"(50,1.078799113)"
5/22/2018 19:50,traces/generated/5to10OneThree/0024.trace,25,25,3,3,5,"->(F(x1),U(!(x0),x1))",108.6956572,"U(->(x0,G(x0)),|(x1,G(x0)))",,250,108.6956572,"(250,108.6956572)"
5/22/2018 21:32,traces/generated/5to10OneThree/0026.trace,50,50,3,3,5,"->(F(x1),U(!(x0),x1))",257.9624108,"U(->(x0,x1),->(F(x1),x1))",,500,257.9624108,"(500,257.9624108)"
5/22/2018 19:37,traces/generated/5to10OneThree/0028.trace,75,75,3,3,5,"->(F(x1),U(!(x0),x1))",483.59438,"U(->(x0,x1),->(F(x1),x1))",,750,483.59438,"(750,483.59438)"
5/22/2018 21:56,traces/generated/5to10OneThree/0030.trace,100,100,3,3,5,"->(F(x1),U(!(x0),x1))",/,/,timeout: 600,1000,600,"(1000,600)"
5/22/2018 20:12,traces/generated/5to10OneThree/0032.trace,125,125,3,3,5,"->(F(x1),U(!(x0),x1))",/,/,timeout: 600,1250,600,"(1250,600)"
5/23/2018 1:22,traces/generated/5to10OneThree/0034.trace,150,150,3,3,5,"->(F(x1),U(!(x0),x1))",/,/,timeout: 600,1500,600,"(1500,600)"
5/22/2018 23:48,traces/generated/5to10OneThree/0036.trace,175,175,3,3,5,"->(F(x1),U(!(x0),x1))",/,/,timeout: 600,1750,600,"(1750,600)"
5/23/2018 1:44,traces/generated/5to10OneThree/0038.trace,200,200,3,3,5,"->(F(x1),U(!(x0),x1))",/,/,timeout: 600,2000,600,"(2000,600)"
5/23/2018 0:18,traces/generated/5to10OneThree/0040.trace,225,225,3,3,5,"->(F(x1),U(!(x0),x1))",/,/,timeout: 600,2250,600,"(2250,600)"
5/22/2018 22:18,traces/generated/5to10OneThree/0042.trace,250,250,3,3,5,"->(F(x1),U(!(x0),x1))",/,/,timeout: 600,2500,600,"(2500,600)"
5/23/2018 0:18,traces/generated/5to10OneThree/0023.trace,5,5,3,3,10,"->(F(x1),U(!(x0),x1))",8.335977447,"U(->(x0,x1),x1)",,100,8.335977447,"(100,8.335977447)"
5/22/2018 19:19,traces/generated/5to10OneThree/0025.trace,25,25,3,3,10,"->(F(x1),U(!(x0),x1))",42.44848162,"U(!(x0),x1)",,500,42.44848162,"(500,42.44848162)"
5/22/2018 20:43,traces/generated/5to10OneThree/0027.trace,50,50,3,3,10,"->(F(x1),U(!(x0),x1))",86.11942547,"U(!(x0),x1)",,1000,86.11942547,"(1000,86.11942547)"
5/22/2018 19:14,traces/generated/5to10OneThree/0029.trace,75,75,3,3,10,"->(F(x1),U(!(x0),x1))",130.7701903,"U(!(x0),x1)",,1500,130.7701903,"(1500,130.7701903)"
5/22/2018 20:58,traces/generated/5to10OneThree/0031.trace,100,100,3,3,10,"->(F(x1),U(!(x0),x1))",170.0726865,"U(->(x0,x1),x1)",,2000,170.0726865,"(2000,170.0726865)"
5/22/2018 19:33,traces/generated/5to10OneThree/0033.trace,125,125,3,3,10,"->(F(x1),U(!(x0),x1))",209.9510419,"U(->(x0,x1),x1)",,2500,209.9510419,"(2500,209.9510419)"
5/23/2018 0:38,traces/generated/5to10OneThree/0035.trace,150,150,3,3,10,"->(F(x1),U(!(x0),x1))",244.0311845,"U(!(x0),x1)",,3000,244.0311845,"(3000,244.0311845)"
5/22/2018 22:49,traces/generated/5to10OneThree/0037.trace,175,175,3,3,10,"->(F(x1),U(!(x0),x1))",295.0637203,"U(!(x0),x1)",,3500,295.0637203,"(3500,295.0637203)"
5/23/2018 0:49,traces/generated/5to10OneThree/0039.trace,200,200,3,3,10,"->(F(x1),U(!(x0),x1))",356.8050514,"U(!(x0),x1)",,4000,356.8050514,"(4000,356.8050514)"
5/23/2018 1:05,traces/generated/5to10OneThree/0041.trace,225,225,3,3,10,"->(F(x1),U(!(x0),x1))",395.5378082,"U(!(x0),x1)",,4500,395.5378082,"(4500,395.5378082)"
5/22/2018 23:20,traces/generated/5to10OneThree/0043.trace,250,250,3,3,10,"->(F(x1),U(!(x0),x1))",439.2928944,"U(!(x0),x1)",,5000,439.2928944,"(5000,439.2928944)"
5/22/2018 20:30,traces/generated/5to10twothree/0154.trace,5,5,2,3,5,"->(F(x1),U(x0,x1))",1.255856369,"U(x0,x1)",,50,1.255856369,"(50,1.255856369)"
5/22/2018 19:45,traces/generated/5to10twothree/0156.trace,25,25,2,3,5,"->(F(x1),U(x0,x1))",36.23891498,"->(F(U(x0,x1)),U(x0,x1))",,250,36.23891498,"(250,36.23891498)"
5/22/2018 20:29,traces/generated/5to10twothree/0158.trace,50,50,2,3,5,"->(F(x1),U(x0,x1))",76.04130768,"U(x0,->(F(x1),x1))",,500,76.04130768,"(500,76.04130768)"
5/22/2018 20:07,traces/generated/5to10twothree/0160.trace,75,75,2,3,5,"->(F(x1),U(x0,x1))",109.1952624,"U(x0,->(F(x1),x1))",,750,109.1952624,"(750,109.1952624)"
5/22/2018 20:44,traces/generated/5to10twothree/0162.trace,100,100,2,3,5,"->(F(x1),U(x0,x1))",144.087493,"U(x0,->(F(x1),x1))",,1000,144.087493,"(1000,144.087493)"
5/22/2018 21:26,traces/generated/5to10twothree/0164.trace,125,125,2,3,5,"->(F(x1),U(x0,x1))",242.1691443,"->(F(x1),U(x0,x1))",,1250,242.1691443,"(1250,242.1691443)"
5/22/2018 21:23,traces/generated/5to10threethree/0166.trace,150,150,2,3,5,"->(F(x1),U(x0,x1))",246.8896494131,"U(x0,->(F(x1),x1))",,1500,246.8896494131,"(1500,246.88964941306)"
5/22/2018 20:44,traces/generated/5to10threethree/0168.trace,175,175,2,3,5,"->(F(x1),U(x0,x1))",284.1370065792,"->(F(x1),U(x0,x1))",,1750,284.1370065792,"(1750,284.137006579199)"
5/22/2018 21:37,traces/generated/5to10threethree/0170.trace,200,200,2,3,5,"->(F(x1),U(x0,x1))",353.6830849079,"U(x0,->(F(x1),x1))",,2000,353.6830849079,"(2000,353.683084907941)"
5/22/2018 20:49,traces/generated/5to10threethree/0172.trace,225,225,2,3,5,"->(F(x1),U(x0,x1))",438.9435834659,"U(x0,->(F(x1),x1))",,2250,438.9435834659,"(2250,438.943583465879)"
5/22/2018 19:56,traces/generated/5to10threethree/0174.trace,250,250,2,3,5,"->(F(x1),U(x0,x1))",440.83606087,"->(F(x1),U(x0,x1))",,2500,440.83606087,"(2500,440.836060869973)"
5/22/2018 20:43,traces/generated/5to10twothree/0155.trace,5,5,2,3,10,"->(F(x1),U(x0,x1))",0.092348769,x1,,100,0.092348769,"(100,0.092348769)"
5/22/2018 19:57,traces/generated/5to10twothree/0157.trace,25,25,2,3,10,"->(F(x1),U(x0,x1))",14.85928108,"U(x0,x1)",,500,14.85928108,"(500,14.85928108)"
5/22/2018 20:43,traces/generated/5to10twothree/0159.trace,50,50,2,3,10,"->(F(x1),U(x0,x1))",28.43727728,"U(x0,x1)",,1000,28.43727728,"(1000,28.43727728)"
5/22/2018 19:46,traces/generated/5to10twothree/0161.trace,75,75,2,3,10,"->(F(x1),U(x0,x1))",41.18905482,"U(x0,x1)",,1500,41.18905482,"(1500,41.18905482)"
5/22/2018 20:31,traces/generated/5to10twothree/0163.trace,100,100,2,3,10,"->(F(x1),U(x0,x1))",56.73567641,"U(x0,x1)",,2000,56.73567641,"(2000,56.73567641)"
5/22/2018 21:01,traces/generated/5to10threethree/0165.trace,125,125,2,3,10,"->(F(x1),U(x0,x1))",68.4503090449,"U(x0,x1)",,2500,68.4503090449,"(2500,68.4503090449143)"
5/22/2018 21:46,traces/generated/5to10threethree/0167.trace,150,150,2,3,10,"->(F(x1),U(x0,x1))",83.0684280919,"U(x0,x1)",,3000,83.0684280919,"(3000,83.0684280919376)"
5/22/2018 21:02,traces/generated/5to10threethree/0169.trace,175,175,2,3,10,"->(F(x1),U(x0,x1))",97.594743459,"U(x0,x1)",,3500,97.594743459,"(3500,97.5947434590198)"
5/22/2018 21:56,traces/generated/5to10threethree/0171.trace,200,200,2,3,10,"->(F(x1),U(x0,x1))",110.83159149,"U(x0,x1)",,4000,110.83159149,"(4000,110.831591489957)"
5/22/2018 21:11,traces/generated/5to10threethree/0173.trace,225,225,2,3,10,"->(F(x1),U(x0,x1))",/,/,,4500,600,"(4500,600)"
5/22/2018 20:32,traces/generated/5to10threethree/0175.trace,250,250,2,3,10,"->(F(x1),U(x0,x1))",139.1142325189,"U(x0,x1)",,5000,139.1142325189,"(5000,139.114232518943)"
5/22/2018 19:36,traces/generated/5to10OneThree/0066.trace,5,5,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",0.363187034,F(x1),,50,0.363187034,"(50,0.363187034)"
5/22/2018 21:12,traces/generated/5to10OneThree/0068.trace,25,25,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",/,/,timeout: 600,250,600,"(250,600)"
5/22/2018 20:02,traces/generated/5to10OneThree/0070.trace,50,50,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",/,/,timeout: 600,500,600,"(500,600)"
5/22/2018 21:36,traces/generated/5to10OneThree/0072.trace,75,75,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",/,/,timeout: 600,750,600,"(750,600)"
5/23/2018 0:08,traces/generated/5to10OneThree/0074.trace,100,100,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",/,/,timeout: 600,1000,600,"(1000,600)"
5/23/2018 1:33,traces/generated/5to10OneThree/0076.trace,125,125,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",/,/,timeout: 600,1250,600,"(1250,600)"
5/22/2018 23:28,traces/generated/5to10OneThree/0078.trace,150,150,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",/,/,timeout: 600,1500,600,"(1500,600)"
5/22/2018 21:16,traces/generated/5to10twothree/0080.trace,175,175,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",/,/,timeout: 600,1750,600,"(1750,600)"
5/22/2018 21:51,traces/generated/5to10twothree/0082.trace,200,200,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",/,/,timeout: 600,2000,600,"(2000,600)"
5/22/2018 19:46,traces/generated/5to10twothree/0084.trace,225,225,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",/,/,timeout: 600,2250,600,"(2250,600)"
5/22/2018 20:32,traces/generated/5to10twothree/0086.trace,250,250,4,3,5,"|(G(!(x0)),F(&(x0,F(x1))))",/,/,timeout: 600,2500,600,"(2500,600)"
5/22/2018 20:33,traces/generated/5to10OneThree/0069.trace,25,2,4,3,10,"|(G(!(x0)),F(&(x0,F(x1))))",1.545610508,F(x1),,270,1.545610508,"(270,1.545610508)"
5/22/2018 19:30,traces/generated/5to10OneThree/0071.trace,50,8,4,3,10,"|(G(!(x0)),F(&(x0,F(x1))))",132.6339507,"U(F(x1),&(F(x1),x0))",,580,132.6339507,"(580,132.6339507)"
5/22/2018 20:44,traces/generated/5to10OneThree/0073.trace,75,13,4,3,10,"|(G(!(x0)),F(&(x0,F(x1))))",229.3521951,"U(F(x1),&(x0,F(x1)))",,880,229.3521951,"(880,229.3521951)"
5/22/2018 23:04,traces/generated/5to10OneThree/0075.trace,100,22,4,3,10,"|(G(!(x0)),F(&(x0,F(x1))))",299.0292391,"U(F(x1),&(F(x1),x0))",,1220,299.0292391,"(1220,299.0292391)"
5/23/2018 0:43,traces/generated/5to10OneThree/0077.trace,125,19,4,3,10,"|(G(!(x0)),F(&(x0,F(x1))))",338.7342663,"U(F(x1),&(F(x1),x0))",,1440,338.7342663,"(1440,338.7342663)"
5/22/2018 22:29,traces/generated/5to10OneThree/0079.trace,150,33,4,3,10,"|(G(!(x0)),F(&(x0,F(x1))))",/,/,timeout: 600,1830,600,"(1830,600)"
5/22/2018 20:56,traces/generated/5to10twothree/0081.trace,175,30,4,3,10,"|(G(!(x0)),F(&(x0,F(x1))))",498.4718639,"U(F(x1),&(x0,F(x1)))",,2050,498.4718639,"(2050,498.4718639)"
5/22/2018 21:41,traces/generated/5to10twothree/0083.trace,200,34,4,3,10,"|(G(!(x0)),F(&(x0,F(x1))))",546.1009213,"U(F(x1),&(F(x1),x0))",,2340,546.1009213,"(2340,546.1009213)"
5/22/2018 19:25,traces/generated/5to10twothree/0085.trace,225,32,4,3,10,"|(G(!(x0)),F(&(x0,F(x1))))",/,/,timeout: 600,2570,600,"(2570,600)"
5/22/2018 20:19,traces/generated/5to10twothree/0087.trace,250,36,4,3,10,"|(G(!(x0)),F(&(x0,F(x1))))",/,/,timeout: 600,2860,600,"(2860,600)"
5/22/2018 19:56,traces/generated/5to10twothree/0088.trace,5,5,1,2,5,F(x0),0.332488794,F(x0),,50,0.332488794,"(50,0.332488794)"
5/22/2018 20:43,traces/generated/5to10twothree/0090.trace,25,25,1,2,5,F(x0),1.26728756,F(x0),,250,1.26728756,"(250,1.26728756)"
5/22/2018 19:57,traces/generated/5to10twothree/0092.trace,50,50,1,2,5,F(x0),2.164189417,F(x0),,500,2.164189417,"(500,2.164189417)"
5/22/2018 22:22,traces/generated/5to10twothree/0094.trace,75,75,1,2,5,F(x0),3.429005232,F(x0),,750,3.429005232,"(750,3.429005232)"
5/22/2018 21:30,traces/generated/5to10twothree/0096.trace,100,100,1,2,5,F(x0),4.344243106,F(x0),,1000,4.344243106,"(1000,4.344243106)"
5/22/2018 22:01,traces/generated/5to10twothree/0098.trace,125,125,1,2,5,F(x0),5.606333133,F(x0),,1250,5.606333133,"(1250,5.606333133)"
5/22/2018 20:30,traces/generated/5to10twothree/0100.trace,150,150,1,2,5,F(x0),6.380825151,F(x0),,1500,6.380825151,"(1500,6.380825151)"
5/22/2018 19:45,traces/generated/5to10twothree/0102.trace,175,175,1,2,5,F(x0),7.93596999,F(x0),,1750,7.93596999,"(1750,7.93596999)"
5/22/2018 21:51,traces/generated/5to10twothree/0104.trace,200,200,1,2,5,F(x0),9.067644384,F(x0),,2000,9.067644384,"(2000,9.067644384)"
5/22/2018 21:05,traces/generated/5to10twothree/0106.trace,225,225,1,2,5,F(x0),9.513657559,F(x0),,2250,9.513657559,"(2250,9.513657559)"
5/22/2018 21:50,traces/generated/5to10twothree/0108.trace,250,250,1,2,5,F(x0),10.88694276,F(x0),,2500,10.88694276,"(2500,10.88694276)"
5/22/2018 20:31,traces/generated/5to10twothree/0091.trace,25,2,1,2,10,F(x0),1.713749416,F(x0),,270,1.713749416,"(270,1.713749416)"
5/22/2018 19:45,traces/generated/5to10twothree/0093.trace,50,3,1,2,10,F(x0),3.34505938,F(x0),,530,3.34505938,"(530,3.34505938)"
5/22/2018 21:51,traces/generated/5to10twothree/0095.trace,75,6,1,2,10,F(x0),4.682830669,F(x0),,810,4.682830669,"(810,4.682830669)"
5/22/2018 21:05,traces/generated/5to10twothree/0097.trace,100,4,1,2,10,F(x0),5.871867351,F(x0),,1040,5.871867351,"(1040,5.871867351)"
5/22/2018 21:50,traces/generated/5to10twothree/0099.trace,125,7,1,2,10,F(x0),7.612197433,F(x0),,1320,7.612197433,"(1320,7.612197433)"
5/22/2018 20:43,traces/generated/5to10twothree/0101.trace,150,10,1,2,10,F(x0),9.044692107,F(x0),,1600,9.044692107,"(1600,9.044692107)"
5/22/2018 19:57,traces/generated/5to10twothree/0103.trace,175,7,1,2,10,F(x0),10.22610444,F(x0),,1820,10.22610444,"(1820,10.22610444)"
5/22/2018 22:22,traces/generated/5to10twothree/0105.trace,200,10,1,2,10,F(x0),11.84327214,F(x0),,2100,11.84327214,"(2100,11.84327214)"
5/22/2018 21:30,traces/generated/5to10twothree/0107.trace,225,8,1,2,10,F(x0),13.04756089,F(x0),,2330,13.04756089,"(2330,13.04756089)"
5/22/2018 22:01,traces/generated/5to10twothree/0109.trace,250,17,1,2,10,F(x0),14.77222341,F(x0),,2670,14.77222341,"(2670,14.77222341)"
5/22/2018 20:22,traces/generated/5to10OneThree/0044.trace,5,5,4,3,5,"G(->(x1,G(!(x0))))",7.988028742,"U(X(x2),!(x0))",,50,7.988028742,"(50,7.988028742)"
5/22/2018 19:16,traces/generated/5to10OneThree/0046.trace,25,25,4,3,5,"G(->(x1,G(!(x0))))",214.1891409,"!(F(&(x1,U(x1,x0))))",,250,214.1891409,"(250,214.1891409)"
5/22/2018 20:33,traces/generated/5to10OneThree/0048.trace,50,50,4,3,5,"G(->(x1,G(!(x0))))",/,/,timeout: 600,500,600,"(500,600)"
5/22/2018 19:20,traces/generated/5to10OneThree/0050.trace,75,75,4,3,5,"G(->(x1,G(!(x0))))",/,/,timeout: 600,750,600,"(750,600)"
5/22/2018 20:48,traces/generated/5to10OneThree/0052.trace,100,100,4,3,5,"G(->(x1,G(!(x0))))",/,/,timeout: 600,1000,600,"(1000,600)"
5/22/2018 22:54,traces/generated/5to10OneThree/0054.trace,125,125,4,3,5,"G(->(x1,G(!(x0))))",/,/,timeout: 600,1250,600,"(1250,600)"
